route_id,direction_id,route_short_name,route_long_name,P1_avg_n_trips,P2_avg_n_trips,P3_avg_n_trips,P1_share_days_with_service,P2_share_days_with_service,P3_share_days_with_service,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
143,0,143,Stockton/Michigan Express,17,17,17,1,1,1,0,0,0
146,0,146,Inner Lake Shore/Michigan Express,29,29,29,1,1,1,0,0,0
146,1,146,Inner Lake Shore/Michigan Express,14,14,14,1,1,1,0,0,0
147,0,147,Outer DuSable Lake Shore Express,27,27,27,1,1,1,0,0,0
147,1,147,Outer DuSable Lake Shore Express,11,11,11,1,1,1,0,0,0
148,0,148,Clarendon/Michigan Express,24,24,24,1,1,1,0,0,0
15,0,15,Jeffery Local,13,13,13,1,1,1,0,0,0
15,1,15,Jeffery Local,13,13,13,1,1,1,0,0,0
151,0,151,Sheridan,29,29,29,1,1,1,0,0,0
151,1,151,Sheridan,17,17,17,1,1,1,0,0,0
155,0,155,Devon,13,13,13,1,1,1,0,0,0
155,1,155,Devon,16,16,16,1,1,1,0,0,0
156,0,156,LaSalle,22,22,22,1,1,1,0,0,0
156,1,156,LaSalle,11,11,11,1,1,1,0,0,0
165,0,165,West 65th,6,6,6,1,1,1,0,0,0
169,0,169,69th/UPS Express,2,2,2,1,1,1,0,0,0
18,0,18,16th/18th,10,10,10,1,1,1,0,0,0
192,0,192,University of Chicago Hospitals Express,7,7,7,1,1,1,0,0,0
2,0,2,Hyde Park Express,13,13,13,1,1,1,0,0,0
2,1,2,Hyde Park Express,14,14,14,1,1,1,0,0,0
201,0,201,Central/Ridge,10,10,10,1,1,1,0,0,0
201,1,201,Central/Ridge,7,7,7,1,1,1,0,0,0
206,1,206,Evanston Circulator,3,3,3,1,1,1,0,0,0
21,0,21,Cermak,13,13,13,1,1,1,0,0,0
21,1,21,Cermak,14,14,14,1,1,1,0,0,0
22,0,22,Clark,31,31,31,1,1,1,0,0,0
22,1,22,Clark,15,15,15,1,1,1,0,0,0
24,1,24,Wentworth,10,10,10,1,1,1,0,0,0
26,0,26,South Shore Express,0,0,0,0,0,0,0,0,0
26,1,26,South Shore Express,20,20,20,1,1,1,0,0,0
28,0,28,Stony Island,12,12,12,1,1,1,0,0,0
28,1,28,Stony Island,14,14,14,1,1,1,0,0,0
29,0,29,State,13,13,13,1,1,1,0,0,0
29,1,29,State,15,15,15,1,1,1,0,0,0
3,0,3,King Drive,20,20,20,1,1,1,0,0,0
3,1,3,King Drive,25,25,25,1,1,1,0,0,0
30,0,30,South Chicago,10,10,10,1,1,1,0,0,0
30,1,30,South Chicago,10,10,10,1,1,1,0,0,0
31,0,31,31st,5,5,5,1,1,1,0,0,0
31,1,31,31st,5,5,5,1,1,1,0,0,0
34,0,34,South Michigan,15,15,15,1,1,1,0,0,0
34,1,34,South Michigan,16,16,16,1,1,1,0,0,0
35,0,35,31st/35th,14,14,14,1,1,1,0,0,0
