route_id,route_short_name,route_long_name,P1_avg_headway_min,P2_avg_headway_min,P3_avg_headway_min,P1_share_days_present,P2_share_days_present,P3_share_days_present,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
50,50,Damen,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
51,51,51st,20,20,20,1,1,1,0,0,0
52,52,Kedzie,12,12,12,1,1,1,0,0,0
52A,52A,South Kedzie,15,15,15,1,1,1,0,0,0
54,54,Cicero,10,10,10,1,1,1,0,0,0
54A,54A,North Cicero/Skokie Blvd.,24,24,24,1,1,1,0,0,0
54B,54B,South Cicero,17.15,17.15,17.15,1,1,1,0,0,0
55A,55A,55th/Austin,27,27,27,1,1,1,0,0,0
55N,55N,55th/Narragansett,24,24,24,1,1,1,0,0,0
56,56,Milwaukee,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
57,57,Laramie,13.333333333333334,13.333333333333334,13.333333333333334,1,1,1,0,0,0
59,59,59th/61st,17.15,17.15,17.15,1,1,1,0,0,0
6,6,Jackson Park Express,12,12,12,1,1,1,0,0,0
60,60,Blue Island/26th,8,8,8,1,1,1,0,0,0
62,62,Archer,12,12,12,1,1,1,0,0,0
62H,62H,Archer/Harlem,24,24,24,1,1,1,0,0,0
63,63,63rd,6.666666666666667,6.666666666666667,6.666666666666667,1,1,1,0,0,0
63W,63W,West 63rd,24,24,24,1,1,1,0,0,0
67,67,67th/69th/71st,10,10,10,1,1,1,0,0,0
68,68,Northwest Highway,20,20,20,1,1,1,0,0,0
7,7,Harrison,15,15,15,1,1,1,0,0,0
70,70,Division,8,8,8,1,1,1,0,0,0
71,71,71st/South Shore,10,10,10,1,1,1,0,0,0
73,73,Armitage,9.233333333333333,9.233333333333333,9.233333333333333,1,1,1,0,0,0
74,74,Fullerton,6.666666666666667,6.666666666666667,6.666666666666667,1,1,1,0,0,0
75,75,74th/75th,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
76,76,Diversey,8,8,8,1,1,1,0,0,0
78,78,Montrose,12,12,12,1,1,1,0,0,0
79,79,79th,5.716666666666667,5.716666666666667,5.716666666666667,1,1,1,0,0,0
80,80,Irving Park,8.566666666666666,8.566666666666666,8.566666666666666,1,1,1,0,0,0
81,81,Lawrence,8,8,8,1,1,1,0,0,0
81W,81W,West Lawrence,24,24,24,1,1,1,0,0,0
85,85,Central,12,12,12,1,1,1,0,0,0
85A,85A,North Central,20,20,20,1,1,1,0,0,0
87,87,87th,9.233333333333333,9.233333333333333,9.233333333333333,1,1,1,0,0,0
88,88,Higgins,20,20,20,1,1,1,0,0,0
8A,8A,South Halsted,15,15,15,1,1,1,0,0,0
9,9,Ashland,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
90,90,Harlem,17.15,17.15,17.15,1,1,1,0,0,0
91,91,Austin,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
92,92,Foster,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
93,93,California/Dodge,17.15,17.15,17.15,1,1,1,0,0,0
94,94,California,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
95,95,95th,10,10,10,1,1,1,0,0,0
96,96,Lunt,20,20,20,1,1,1,0,0,0
97,97,Skokie,20,20,20,1,1,1,0,0,0
Blue,NA,Blue Line,5.216666666666667,5.216666666666667,5.216666666666667,1,1,1,0,0,0
Brn,NA,Brown Line,5.1,5.1,5.1,1,1,1,0,0,0
G,NA,Green Line,8.566666666666666,8.566666666666666,8.566666666666666,1,1,1,0,0,0
J14,J14,Jeffery Jump,9.233333333333333,9.233333333333333,9.233333333333333,1,1,1,0,0,0
Org,NA,Orange Line,7.5,7.5,7.5,1,1,1,0,0,0
P,NA,Purple Line,8.566666666666666,8.566666666666666,8.566666666666666,1,1,1,0,0,0
Pink,NA,Pink Line,8.566666666666666,8.566666666666666,8.566666666666666,1,1,1,0,0,0
Red,NA,Red Line,4.916666666666667,4.916666666666667,4.916666666666667,1,1,1,0,0,0
X4,X4,Cottage Grove Express,13.333333333333334,13.333333333333334,13.333333333333334,1,1,1,0,0,0
X49,X49,Western Express,9.233333333333333,9.233333333333333,9.233333333333333,1,1,1,0,0,0
X9,X9,Ashland Express,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
Y,NA,Yellow Line,10.916666666666666,10.916666666666666,10.916666666666666,1,1,1,0,0,0
