route_id,direction_id,route_short_name,route_long_name,P1_avg_n_trips,P2_avg_n_trips,P3_avg_n_trips,P1_share_days_with_service,P2_share_days_with_service,P3_share_days_with_service,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
50,0,50,Damen,18.125,18.444444444444443,18.375,1,1,1,0.31944444444444287,-0.06944444444444287,0.25
93,1,93,California/Dodge,11.25,11.444444444444445,11.5,1,1,1,0.19444444444444464,0.05555555555555536,0.25
67,1,67,67th/69th/71st,23.0625,23.22222222222222,23.1875,1,1,1,0.15972222222222143,-0.03472222222222143,0.125
1,0,1,Bronzeville/Union Station,0,0,0,0,0,0,0,0,0
1,1,1,Bronzeville/Union Station,0,0,0,0,0,0,0,0,0
100,0,100,Jeffery Manor Express,0,0,0,0,0,0,0,0,0
100,1,100,Jeffery Manor Express,0,0,0,0,0,0,0,0,0
103,0,103,West 103rd,12,12,12,1,1,1,0,0,0
103,1,103,West 103rd,11,11,11,1,1,1,0,0,0
106,0,106,East 103rd,14,14,14,1,1,1,0,0,0
106,1,106,East 103rd,12,12,12,1,1,1,0,0,0
108,0,108,Halsted/95th,0,0,0,0,0,0,0,0,0
108,1,108,Halsted/95th,0,0,0,0,0,0,0,0,0
11,0,11,Lincoln,10,10,10,1,1,1,0,0,0
11,1,11,Lincoln,10,10,10,1,1,1,0,0,0
111,0,111,111th/King Drive,14,14,14,1,1,1,0,0,0
111,1,111,111th/King Drive,14,14,14,1,1,1,0,0,0
111A,0,111A,Pullman Shuttle,10,10,10,1,1,1,0,0,0
111A,1,111A,Pullman Shuttle,10,10,10,1,1,1,0,0,0
112,0,112,Vincennes/111th,12,12,12,1,1,1,0,0,0
112,1,112,Vincennes/111th,13,13,13,1,1,1,0,0,0
115,0,115,Pullman/115th,14,14,14,1,1,1,0,0,0
115,1,115,Pullman/115th,15,15,15,1,1,1,0,0,0
119,0,119,Michigan/119th,17,17,17,1,1,1,0,0,0
119,1,119,Michigan/119th,17,17,17,1,1,1,0,0,0
12,0,12,Roosevelt,22,22,22,1,1,1,0,0,0
12,1,12,Roosevelt,22,22,22,1,1,1,0,0,0
120,0,120,Ogilvie/Streeterville Express,0,0,0,0,0,0,0,0,0
120,1,120,Ogilvie/Streeterville Express,0,0,0,0,0,0,0,0,0
121,0,121,Union/Streeterville Express,0,0,0,0,0,0,0,0,0
121,1,121,Union/Streeterville Express,0,0,0,0,0,0,0,0,0
125,0,125,Water Tower Express,0,0,0,0,0,0,0,0,0
125,1,125,Water Tower Express,0,0,0,0,0,0,0,0,0
126,0,126,Jackson,15,15,15,1,1,1,0,0,0
126,1,126,Jackson,14,14,14,1,1,1,0,0,0
134,0,134,Stockton/LaSalle Express,0,0,0,0,0,0,0,0,0
135,0,135,Clarendon/LaSalle Express,0,0,0,0,0,0,0,0,0
136,0,136,Sheridan/LaSalle Express,0,0,0,0,0,0,0,0,0
143,0,143,Stockton/Michigan Express,0,0,0,0,0,0,0,0,0
146,0,146,Inner Lake Shore/Michigan Express,23,23,23,1,1,1,0,0,0
146,1,146,Inner Lake Shore/Michigan Express,24,24,24,1,1,1,0,0,0
